Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,DRREDDY,0.917511,1.8109,-0.1333,0.053902
2,HCLTECH,0.898512,2.4301,-0.1469,0.065312
3,BRITANNIA,0.894981,1.8635,-0.1059,0.068697
4,PAGEIND,0.887847,1.183,-0.1365,0.057689
5,DABUR,0.886187,1.2959,-0.1653,0.057011
6,SUNPHARMA,0.880489,2.1919,-0.1619,0.070443
7,LUPIN,0.878993,1.6198,-0.1582,0.067345
8,KANSAINER,0.873179,1.158,-0.1967,0.05402
9,GLAXO,0.871768,0.9983,-0.1886,0.050886
10,IPCALAB,0.870158,1.7816,-0.1408,0.074746
11,SUPREMEIND,0.866196,0.9971,-0.1705,0.057806
12,TCS,0.864195,1.8518,-0.1387,0.077792
13,DBCORP,0.863632,1.1402,-0.1709,0.063435
14,TORNTPHARM,0.863144,1.1692,-0.1447,0.068061
15,BIOCON,0.859209,0.8015,-0.1422,0.058436
16,CIPLA,0.858458,0.8636,-0.1622,0.058277
17,SANOFI,0.858241,0.5631,-0.1481,0.044722
18,GODREJCP,0.857311,0.9008,-0.1611,0.06048
19,BOSCHLTD,0.853314,0.428,-0.1566,0.034647
20,IDEA,0.848872,2.0671,-0.1559,0.082784
