Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,IPCALAB,0.935841,1.6646,-0.1733,0.087742
2,SANOFI,0.935559,1.5873,-0.2007,0.084062
3,DIVISLAB,0.926585,1.2593,-0.1941,0.081739
4,ABBOTINDIA,0.922892,1.8881,-0.184,0.097506
5,TORNTPHARM,0.922614,1.3787,-0.2128,0.086743
6,NESTLEIND,0.92026,1.2518,-0.2288,0.081596
7,ZYDUSLIFE,0.911873,1.2784,-0.1517,0.095441
8,ALKEM,0.910088,1.0174,-0.1853,0.082829
9,TORNTPOWER,0.905223,0.9732,-0.242,0.075285
10,COROMANDEL,0.903492,1.8924,-0.2388,0.102915
11,DRREDDY,0.892475,1.5411,-0.2107,0.107892
12,ZFCVINDIA,0.890699,0.5914,-0.2117,0.049088
13,BIOCON,0.888655,1.3589,-0.1989,0.107371
14,ASIANPAINT,0.883659,0.7582,-0.2087,0.081199
15,DABUR,0.880239,0.7061,-0.2382,0.073868
16,BHARTIARTL,0.877354,1.3021,-0.2849,0.100438
17,HINDUNILVR,0.875029,0.7342,-0.2077,0.085735
18,DMART,0.866449,1.6171,-0.2891,0.111137
19,LALPATHLAB,0.863335,0.9541,-0.2932,0.092763
20,MRF,0.86093,0.711,-0.2905,0.076976
