Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,ADANIENT,0.992007,1.6858,-0.0028,0.001366
2,BHARTIARTL,0.893174,1.9726,-0.2435,0.099567
3,INFY,0.878434,0.9958,-0.255,0.084848
4,ASIANPAINT,0.866697,0.6324,-0.2266,0.069326
5,TCS,0.863346,0.8424,-0.274,0.078949
6,SUNPHARMA,0.863313,0.823,-0.2621,0.081171
7,RELIANCE,0.861003,1.714,-0.2941,0.101792
8,RELIANCE,0.861003,1.714,-0.2941,0.101792
9,CONCOR,0.829576,0.9431,-0.2356,0.109785
10,HDFCBANK,0.825166,0.7517,-0.277,0.093813
11,NTPC,0.824117,0.6926,-0.2982,0.082903
12,ASIANHOTNR,0.81239,0.492,-0.236,0.089204
13,SUNDARMFIN,0.80933,0.2635,-0.2243,0.066564
14,HTMEDIA,0.801267,2.0238,-0.3334,0.11609
15,BOSCHLTD,0.793973,0.5016,-0.2695,0.09298
16,UPL,0.793645,0.7448,-0.3123,0.097789
17,KTKBANK,0.790094,1.2868,-0.2844,0.127827
18,ZEEL,0.789544,1.5503,-0.3289,0.119492
19,CENTBOP,0.788827,1.1306,-0.3151,0.116171
20,MAHSEAMLES,0.785625,1.0761,-0.3431,0.105336
