Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,SCHAEFFLER,0.907104,2.9188,-0.0946,0.051517
2,MARUTI,0.901627,3.1293,-0.0891,0.060725
3,PGHH,0.899234,3.4096,-0.1078,0.058937
4,MARICO,0.896868,2.4971,-0.085,0.047921
5,INDUSINDBK,0.888164,2.5309,-0.0891,0.054426
6,BRITANNIA,0.879465,3.0881,-0.0951,0.070293
7,LUPIN,0.878559,3.2647,-0.0997,0.071284
8,SHREECEM,0.856895,3.0476,-0.0963,0.079618
9,3MINDIA,0.854616,2.5174,-0.0956,0.070928
10,KOTAKBANK,0.846738,2.2449,-0.1092,0.060782
11,BAJFINANCE,0.845288,2.2786,-0.1053,0.064447
12,GILLETTE,0.839628,3.0606,-0.1154,0.082307
13,EICHERMOT,0.838893,3.0744,-0.1031,0.085594
14,HDFCBANK,0.836517,1.7839,-0.0804,0.045659
15,PIDILITIND,0.835389,2.8059,-0.1398,0.073528
16,BOSCHLTD,0.833044,3.374,-0.1047,0.089585
17,GSKCONS,0.832852,1.7978,-0.0994,0.041734
18,KARURVYSYA,0.830469,2.2442,-0.0951,0.073177
19,ADANIENT,0.820217,1.291,-0.0083,0.004172
20,TORNTPHARM,0.820027,2.632,-0.1393,0.076991
