Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,ITC,0.923486,2.757,-0.0943,0.059333
2,BRITANNIA,0.890791,1.3578,-0.1187,0.059836
3,SIEMENS,0.88043,1.3221,-0.1314,0.060872
4,TORNTPHARM,0.868557,0.8021,-0.1288,0.045919
5,ABBOTINDIA,0.858342,1.0589,-0.1573,0.056629
6,AIAENG,0.850003,1.4981,-0.1551,0.0695
7,PHOENIXLTD,0.846743,1.1638,-0.1591,0.063648
8,MRF,0.846144,1.2451,-0.1477,0.067821
9,CUMMINSIND,0.828561,2.0645,-0.1574,0.078681
10,ZYDUSLIFE,0.825979,0.8949,-0.1475,0.064479
11,SUNPHARMA,0.820844,0.7131,-0.1596,0.055767
12,M&M,0.815513,1.8745,-0.201,0.072921
13,NTPC,0.813309,1.0774,-0.1636,0.070882
14,BAJAJ-AUTO,0.809284,0.5913,-0.1502,0.055958
15,NESTLEIND,0.805613,0.4711,-0.1329,0.053726
16,ZFCVINDIA,0.798704,1.2474,-0.185,0.074391
17,DRREDDY,0.797662,0.4184,-0.1394,0.052188
18,ICICIBANK,0.797402,0.7149,-0.1576,0.064833
19,BHARTIARTL,0.795493,0.6347,-0.1737,0.057953
20,CIPLA,0.789859,0.4324,-0.1435,0.05566
