Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,ADANIENT,0.935277,1.6749,-0.0201,0.008421
2,BAJAJHLDNG,0.910624,2.5083,-0.1311,0.055837
3,SUNPHARMA,0.869724,1.8693,-0.1251,0.062614
4,INFY,0.843099,1.5071,-0.1348,0.05817
5,POWERGRID,0.837078,1.3653,-0.1268,0.054371
6,TRENT,0.830306,1.845,-0.1616,0.071762
7,SCHAEFFLER,0.826987,2.0595,-0.15,0.080832
8,TITAN,0.820399,1.821,-0.135,0.079906
9,BHARTIARTL,0.820128,1.6304,-0.1457,0.071868
10,PAGEIND,0.814525,1.3616,-0.1228,0.0655
11,CIPLA,0.803778,1.0659,-0.129,0.050406
12,SIEMENS,0.803151,1.1722,-0.1297,0.058394
13,BEL,0.791758,1.7764,-0.1599,0.084812
14,ESCORTS,0.784769,1.4422,-0.1417,0.078617
15,MPHASIS,0.779839,1.9977,-0.1836,0.088833
16,SRF,0.772794,2.7037,-0.1949,0.096468
17,PGHH,0.76048,0.7671,-0.131,0.049608
18,TCS,0.755529,1.0154,-0.1536,0.065418
19,MARICO,0.754485,1.27,-0.2072,0.063027
20,ABB,0.753684,1.4896,-0.174,0.085364
