Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,GTL,0.985203,3.2069,-0.0807,0.054101
2,COLPAL,0.965977,2.0912,-0.1375,0.07887
3,PGHH,0.951048,2.2022,-0.1264,0.107398
4,MARICO,0.936162,1.6179,-0.1927,0.065361
5,GSKCONS,0.93612,1.7513,-0.1905,0.090769
6,GODREJCP,0.929486,2.163,-0.2196,0.116878
7,CASTROLIND,0.92941,1.6384,-0.1996,0.08206
8,SANOFI,0.919,1.6185,-0.201,0.095608
9,HEROMOTOCO,0.908562,1.551,-0.2166,0.094962
10,PFIZER,0.897572,1.5542,-0.234,0.105251
11,GLAXO,0.885636,1.2528,-0.1762,0.059959
12,MPHASIS,0.877632,2.3292,-0.2626,0.15561
13,DABUR,0.877337,1.3315,-0.2599,0.070564
14,PFC,0.875334,1.4514,-0.2606,0.106093
15,INFY,0.865809,1.2526,-0.2115,0.089283
16,GILLETTE,0.849662,1.1823,-0.2198,0.089813
17,IOC,0.848909,1.2627,-0.2261,0.111226
18,MARUTI,0.84093,1.8496,-0.3639,0.132899
19,IGL,0.840907,1.0819,-0.1674,0.083094
20,GUJENERGY,0.837758,1.2792,-0.2941,0.100856
