Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,HDFCBANK,0.948307,2.9772,-0.0458,0.030523
2,ADANIENT,0.91798,1.6055,-0.0029,0.001255
3,HINDUNILVR,0.916375,2.6796,-0.0829,0.037663
4,RAJESHEXPO,0.895449,2.7763,-0.0862,0.047279
5,MARUTI,0.888896,2.4216,-0.0827,0.047345
6,BRITANNIA,0.885669,2.1885,-0.0898,0.042698
7,PGHH,0.885097,1.8874,-0.0881,0.033394
8,GILLETTE,0.876615,2.4045,-0.0886,0.050683
9,KOTAKBANK,0.874104,1.9235,-0.0935,0.039072
10,MOTHERSON,0.855953,2.1078,-0.1053,0.049057
11,INDUSINDBK,0.853509,1.7701,-0.111,0.036543
12,HDFC,0.833239,1.5338,-0.0833,0.043594
13,LT,0.827983,1.7751,-0.0855,0.055203
14,LTM,0.816529,2.7734,-0.1112,0.068819
15,SOLARINDS,0.806363,2.1536,-0.1298,0.060394
16,DABUR,0.80409,1.1821,-0.086,0.03426
17,RELIANCE,0.795343,2.2848,-0.0979,0.07415
18,BHARATFORG,0.793997,1.6656,-0.1251,0.052932
19,BAJAJHLDNG,0.79198,1.7088,-0.0932,0.06372
20,SKFINDIA,0.790642,1.6756,-0.1289,0.053219
