Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,MARICO,0.910705,1.0916,-0.1649,0.0543
2,GLAXO,0.899949,0.8919,-0.1825,0.049612
3,SANOFI,0.89482,1.0079,-0.1359,0.062681
4,TTKPRESTIG,0.889885,0.9068,-0.1671,0.057924
5,RAMCOCEM,0.887541,1.1768,-0.1417,0.06726
6,BAJFINANCE,0.871044,1.8052,-0.1579,0.073809
7,JAGRAN,0.870518,0.9559,-0.1518,0.067853
8,CHOLAFIN,0.866097,1.1132,-0.1866,0.067512
9,GRASIM,0.864219,0.4908,-0.1334,0.054633
10,SJVN,0.863617,0.7512,-0.1747,0.061553
11,PETRONET,0.863559,1.2829,-0.1535,0.074128
12,BIOCON,0.85976,0.5824,-0.1705,0.056304
13,KANSAINER,0.847477,0.9815,-0.1716,0.072802
14,IGL,0.846921,1.2025,-0.1724,0.07586
15,JSWSTEEL,0.845214,1.0976,-0.1784,0.074404
16,BAJAJ-AUTO,0.841546,0.7793,-0.1646,0.070789
17,GODREJCP,0.83525,0.8236,-0.1984,0.069205
18,PEL,0.834382,0.7651,-0.213,0.065209
19,HDFCBANK,0.828677,0.2508,-0.1548,0.04985
20,INFY,0.828383,0.4371,-0.1625,0.06186
