Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,JUBLPHARMA,0.946054,2.7128,-0.0535,0.03816
2,ITC,0.893116,2.486,-0.0966,0.056857
3,TATACONSUM,0.889599,2.9142,-0.09,0.073396
4,SIEMENS,0.888705,2.9979,-0.1022,0.072809
5,ACC,0.884417,2.5281,-0.0926,0.064534
6,GSKCONS,0.882838,2.3822,-0.0915,0.05881
7,KANSAINER,0.873586,2.8854,-0.1247,0.070988
8,ASIANPAINT,0.863106,2.2479,-0.1116,0.05616
9,INDHOTEL,0.848624,2.3663,-0.1281,0.064349
10,DABUR,0.847049,2.4278,-0.1101,0.073571
11,BRITANNIA,0.843097,2.7317,-0.1116,0.083498
12,PIDILITIND,0.833474,3.6248,-0.1017,0.097374
13,RICOAUTO,0.821336,2.3302,-0.1368,0.07186
14,BOSCHLTD,0.812549,1.6635,-0.0926,0.043439
15,VTL,0.810946,2.6223,-0.1454,0.082391
16,THERMAX,0.805441,2.0804,-0.124,0.071253
17,CONCOR,0.79939,2.4565,-0.148,0.08084
18,BHEL,0.798022,2.5829,-0.142,0.087224
19,SUNDARMFIN,0.797605,1.91,-0.12,0.065916
20,LMW,0.792103,2.2131,-0.1304,0.080859
