Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,ADANIENT,0.940118,1.3418,-0.0072,0.002573
2,DRREDDY,0.907084,1.7018,-0.1333,0.048728
3,PAGEIND,0.904776,2.7415,-0.1365,0.063359
4,IPCALAB,0.878304,1.8287,-0.1188,0.071268
5,HCLTECH,0.87517,2.1675,-0.1402,0.073876
6,LUPIN,0.861515,1.719,-0.1582,0.069581
7,HEROMOTOCO,0.861258,1.3234,-0.1332,0.060429
8,TECHM,0.857619,1.9738,-0.1456,0.078291
9,TORNTPHARM,0.856812,1.6657,-0.1447,0.073031
10,CONCOR,0.842888,1.491,-0.1818,0.066062
11,SUNDARMFIN,0.839559,1.3281,-0.1868,0.059138
12,CAIRN,0.839344,0.8525,-0.1215,0.03913
13,DABUR,0.838718,1.2085,-0.1653,0.059054
14,BATAINDIA,0.837332,1.7819,-0.181,0.076753
15,BRITANNIA,0.836843,1.6654,-0.139,0.082276
16,GRUH,0.833681,1.3714,-0.1714,0.0684
17,SANOFI,0.831841,0.9474,-0.1516,0.046951
18,THERMAX,0.829046,1.2359,-0.149,0.069323
19,PGHH,0.827923,1.1147,-0.1676,0.058639
20,BOSCHLTD,0.825078,1.0953,-0.1585,0.061349
