Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,HDFCBANK,0.938798,2.6981,-0.0884,0.03807
2,RAJESHEXPO,0.930936,2.7821,-0.0667,0.046694
3,HINDUNILVR,0.926158,2.3426,-0.0829,0.04153
4,ADANIENT,0.914584,1.447,-0.0029,0.000974
5,SOLARINDS,0.906914,2.3137,-0.0887,0.047824
6,TVSMOTOR,0.9012,2.4,-0.1184,0.043218
7,LTM,0.897313,2.2349,-0.1112,0.044722
8,GILLETTE,0.895267,1.9922,-0.0866,0.046661
9,IGL,0.884643,2.5389,-0.081,0.058064
10,PGHH,0.875566,1.4297,-0.0881,0.02844
11,VAKRANGEE,0.869183,3.3679,-0.1028,0.060967
12,WIPRO,0.866204,1.6466,-0.0924,0.045872
13,MOTHERSON,0.865563,2.1103,-0.1409,0.044509
14,BRITANNIA,0.862627,2.1342,-0.1324,0.049289
15,LT,0.842801,1.5065,-0.0855,0.050353
16,MARUTI,0.830774,1.8161,-0.1555,0.044181
17,BHARATFORG,0.820434,1.7959,-0.1251,0.057423
18,TATACONSUM,0.806642,2.0289,-0.1186,0.066446
19,MGL,0.805561,1.8123,-0.1376,0.05864
20,BATAINDIA,0.804996,2.1734,-0.1314,0.066019
