Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,KAJARIACER,0.909724,2.5361,-0.1261,0.055192
2,ASIANPAINT,0.891507,1.5701,-0.096,0.05316
3,HEROMOTOCO,0.891485,1.5397,-0.1113,0.04979
4,MARICO,0.890878,1.3698,-0.0999,0.044761
5,RAMCOCEM,0.886996,2.4722,-0.1042,0.065642
6,KANSAINER,0.885524,1.7657,-0.133,0.054544
7,POWERGRID,0.871783,1.2542,-0.1204,0.044297
8,JSWSTEEL,0.86884,2.3266,-0.1319,0.066809
9,HDFCBANK,0.865718,1.309,-0.1519,0.041291
10,PETRONET,0.865682,2.3592,-0.1318,0.067897
11,SUPREMEIND,0.865587,1.6823,-0.1454,0.057551
12,ULTRACEMCO,0.86239,1.2735,-0.1141,0.05124
13,JAGRAN,0.849205,1.1894,-0.1337,0.048817
14,GRASIM,0.848308,1.7033,-0.1516,0.062554
15,CHOLAFIN,0.845547,2.4045,-0.1063,0.076549
16,BAJFINANCE,0.842854,2.3816,-0.1418,0.072814
17,JSWDULUX,0.838752,1.1013,-0.1241,0.050915
18,TTKPRESTIG,0.83547,1.0917,-0.1327,0.049951
19,DBCORP,0.832347,1.0617,-0.1228,0.051779
20,WHIRLPOOL,0.822534,1.6515,-0.1762,0.064104
