Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,COLPAL,0.970075,0.626,-0.2318,0.080045
2,PGHH,0.96738,0.2274,-0.1527,0.057328
3,HINDUNILVR,0.966281,0.3918,-0.2245,0.074475
4,HEROMOTOCO,0.959725,1.2739,-0.2606,0.098743
5,GLAXO,0.95809,0.0975,-0.1829,0.05784
6,SANOFI,0.954066,0.2575,-0.2156,0.083754
7,CIPLA,0.950875,0.3689,-0.3349,0.083116
8,BRITANNIA,0.940697,0.0431,-0.2674,0.078382
9,LUPIN,0.940277,0.708,-0.3051,0.108212
10,GSKCONS,0.939903,0.3884,-0.3408,0.096057
11,ITC,0.931772,0.1236,-0.3471,0.087428
12,MARICO,0.92266,0.0215,-0.3368,0.090712
13,DABUR,0.909478,0.0184,-0.4117,0.087143
14,GODREJCP,0.904861,-0.2003,-0.2816,0.09261
15,NTPC,0.900724,0.0723,-0.3846,0.107215
16,APOLLOHOSP,0.900182,-0.2986,-0.3352,0.074805
17,SUNPHARMA,0.899256,-0.1785,-0.3689,0.088665
18,GUJENERGY,0.898333,0.0191,-0.3846,0.105615
19,PFIZER,0.891603,-0.3611,-0.3661,0.065111
20,GAIL,0.889761,-0.0325,-0.3962,0.106626
