Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,ADANIENT,0.925074,2.4252,-0.0201,0.007819
2,GRASIM,0.837124,3.1636,-0.1213,0.075032
3,SCHAEFFLER,0.825166,2.8013,-0.1038,0.078815
4,PIDILITIND,0.821491,2.0784,-0.0889,0.050941
5,SRF,0.813684,3.0318,-0.1258,0.080228
6,RELAXO,0.810685,2.5637,-0.0959,0.079568
7,INFY,0.806482,2.1149,-0.1068,0.055025
8,PERSISTENT,0.805585,3.2104,-0.1404,0.079581
9,NAM-INDIA,0.805081,1.9799,-0.1056,0.044373
10,TATACONSUM,0.802764,2.2924,-0.11,0.066752
11,MPHASIS,0.798423,2.5745,-0.0996,0.083452
12,WIPRO,0.798106,2.6373,-0.1297,0.075113
13,TITAN,0.796004,2.5503,-0.1188,0.077387
14,MARICO,0.788436,1.9446,-0.104,0.052986
15,SKFINDIA,0.785529,2.5155,-0.116,0.081104
16,ATUL,0.78235,2.0473,-0.1238,0.054446
17,SUNPHARMA,0.781204,2.0127,-0.1074,0.060767
18,KAJARIACER,0.780075,2.9641,-0.1359,0.087129
19,MINDTREE,0.77577,3.4003,-0.1069,0.103492
20,SIEMENS,0.774784,2.1157,-0.1089,0.06968
