Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,IPCALAB,0.936783,2.0244,-0.1733,0.090437
2,COROMANDEL,0.924875,2.3198,-0.2388,0.093228
3,ZYDUSLIFE,0.92239,1.5704,-0.1517,0.091614
4,ALKEM,0.919422,1.5202,-0.1853,0.089647
5,ABBOTINDIA,0.916919,1.8735,-0.1884,0.099627
6,BIOCON,0.905006,1.6263,-0.1989,0.100673
7,TORNTPHARM,0.903418,1.5455,-0.2128,0.097988
8,SANOFI,0.901157,1.2347,-0.2007,0.086132
9,DIVISLAB,0.89496,2.0266,-0.1941,0.112305
10,DRREDDY,0.894956,1.8717,-0.2107,0.109463
11,NESTLEIND,0.888389,1.1009,-0.2288,0.081538
12,PFIZER,0.887686,1.4352,-0.2074,0.103585
13,LALPATHLAB,0.874198,1.5195,-0.2932,0.100282
14,ZFCVINDIA,0.871867,0.7458,-0.2117,0.048592
15,TORNTPOWER,0.868593,0.8509,-0.242,0.067046
16,BHARTIARTL,0.84402,1.1358,-0.2849,0.101764
17,ASIANPAINT,0.844011,0.6819,-0.2087,0.073085
18,AJANTPHARM,0.829723,1.5131,-0.3111,0.118107
19,MINDTREE,0.826444,1.2286,-0.3325,0.103508
20,HINDUNILVR,0.825547,0.6596,-0.2077,0.085675
