Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,HDFCBANK,0.92788,2.23,-0.1121,0.043532
2,OIL,0.908308,1.7751,-0.109,0.036801
3,POWERGRID,0.90052,1.8375,-0.0842,0.049558
4,IGL,0.900143,2.7095,-0.0786,0.06291
5,ADANIENT,0.864094,1.1321,-0.0017,0.000535
6,GAIL,0.83985,1.5031,-0.104,0.055737
7,AIAENG,0.831956,1.908,-0.1138,0.067794
8,KOTAKBANK,0.821439,1.5231,-0.1539,0.051167
9,INDUSINDBK,0.820627,1.9859,-0.1529,0.065135
10,PETRONET,0.820439,1.6854,-0.139,0.061376
11,PGHH,0.817411,1.0346,-0.0922,0.036575
12,EXIDEIND,0.807772,1.9411,-0.1637,0.064914
13,NTPC,0.803576,1.2697,-0.1322,0.051533
14,GESHIP,0.802804,1.3204,-0.1218,0.056636
15,BEL,0.800465,1.1703,-0.1026,0.053378
16,ONGC,0.796955,1.1942,-0.1159,0.053557
17,SCHAEFFLER,0.787175,1.1197,-0.1491,0.042591
18,BIOCON,0.779565,2.9169,-0.1595,0.079676
19,TATAPOWER,0.779241,1.5834,-0.1799,0.05849
20,PIIND,0.779177,1.3282,-0.1617,0.054271
