Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,BRITANNIA,0.936901,3.0764,-0.0798,0.040313
2,HINDUNILVR,0.931507,2.4319,-0.0829,0.040351
3,HDFCBANK,0.921782,1.6626,-0.0863,0.02968
4,GILLETTE,0.913849,1.9657,-0.0886,0.04305
5,TECHM,0.905131,2.0998,-0.09,0.048941
6,KOTAKBANK,0.899447,1.7899,-0.0935,0.045751
7,PGHH,0.899305,1.4792,-0.096,0.034881
8,BHARATFIN,0.899196,2.257,-0.0914,0.052727
9,INDUSINDBK,0.879801,1.4123,-0.1121,0.039457
10,DABUR,0.871241,1.7024,-0.1346,0.047399
11,SANOFI,0.870062,1.2588,-0.09,0.042929
12,RELIANCE,0.856363,1.4812,-0.1022,0.054833
13,PFIZER,0.85553,1.7668,-0.1055,0.060771
14,INFY,0.851141,1.5919,-0.1444,0.050798
15,JSWSTEEL,0.841664,1.95,-0.1225,0.065094
16,TCS,0.834372,2.1934,-0.1194,0.070019
17,M&M,0.827362,1.3847,-0.139,0.055718
18,MARUTI,0.822224,1.2571,-0.1419,0.052733
19,WHIRLPOOL,0.819427,1.37,-0.1611,0.052624
20,MPHASIS,0.818044,2.0133,-0.1052,0.075411
