Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,ADANIENT,0.953566,2.1355,-0.0042,0.002616
2,CASTROLIND,0.921433,3.0229,-0.096,0.048396
3,CUMMINSIND,0.917724,2.8282,-0.0904,0.0499
4,ASIANPAINT,0.907392,2.8049,-0.1102,0.049938
5,BOSCHLTD,0.901701,2.0358,-0.0915,0.038001
6,ZYDUSLIFE,0.898514,2.8532,-0.0977,0.057099
7,LUPIN,0.896074,2.2884,-0.1015,0.048577
8,PNB,0.895289,2.4173,-0.1008,0.052152
9,BANKBARODA,0.895162,2.4989,-0.112,0.051015
10,GSKCONS,0.874676,2.447,-0.1092,0.059384
11,COROMANDEL,0.869217,3.6354,-0.0918,0.070354
12,BAJAJ-AUTO,0.862537,2.7571,-0.1518,0.057385
13,CRISIL,0.861743,1.9063,-0.0924,0.054478
14,GILLETTE,0.858199,2.391,-0.1118,0.063857
15,ITC,0.857041,1.9469,-0.1363,0.046392
16,DABUR,0.849407,1.858,-0.1036,0.055626
17,GTL,0.840913,1.752,-0.1167,0.051924
18,COLPAL,0.840837,1.7152,-0.097,0.05492
19,AXISBANK,0.838057,1.9724,-0.1341,0.05691
20,ERAINFRA,0.83586,1.8748,-0.1229,0.057348
