Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,ADANIENT,0.970786,1.4132,-0.0201,0.009836
2,SIEMENS,0.893315,1.1243,-0.1297,0.056531
3,SCHAEFFLER,0.879058,2.3839,-0.15,0.076697
4,VBL,0.877857,1.7749,-0.1763,0.071019
5,ITC,0.868965,1.5937,-0.2059,0.066542
6,POWERGRID,0.868736,0.9963,-0.1577,0.059727
7,ABB,0.862569,1.3091,-0.174,0.07006
8,SUNPHARMA,0.861113,1.069,-0.1596,0.065721
9,PAGEIND,0.860665,1.32,-0.1646,0.072394
10,PHOENIXLTD,0.858453,1.2668,-0.2018,0.065235
11,BEL,0.828447,0.9618,-0.1599,0.074699
12,BHARTIARTL,0.819894,1.018,-0.1737,0.07791
13,CUMMINSIND,0.80612,1.0188,-0.1707,0.083135
14,SUMICHEM,0.798444,0.6469,-0.2166,0.06111
15,SBILIFE,0.795955,0.5742,-0.204,0.061387
16,ZFCVINDIA,0.785577,0.4628,-0.2045,0.058752
17,ICICIBANK,0.78181,0.7711,-0.2233,0.072491
18,RELIANCE,0.781088,0.6085,-0.1817,0.074003
19,BLUEDART,0.780584,1.2498,-0.2528,0.080156
20,NESTLEIND,0.776818,0.3885,-0.2133,0.054974
