Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,ADANIENT,0.990422,2.3868,-0.0201,0.012936
2,COROMANDEL,0.879235,1.2882,-0.1749,0.055614
3,ITC,0.873579,1.8614,-0.2059,0.06659
4,SCHAEFFLER,0.872686,2.5602,-0.15,0.080539
5,SIEMENS,0.870021,1.1202,-0.1297,0.059219
6,PAGEIND,0.862748,1.8444,-0.1646,0.077807
7,ABB,0.860477,2.053,-0.174,0.079431
8,POWERGRID,0.86026,1.1341,-0.1577,0.060938
9,VBL,0.858852,1.7879,-0.1763,0.076799
10,BEL,0.851195,1.8792,-0.1599,0.082602
11,PHOENIXLTD,0.849377,1.4401,-0.2018,0.068418
12,BHARTIARTL,0.844372,1.0536,-0.1737,0.061502
13,ZFCVINDIA,0.81061,1.2716,-0.2045,0.077101
14,CIPLA,0.809391,0.5923,-0.1435,0.053787
15,SUNPHARMA,0.805298,0.6823,-0.1596,0.060031
16,SUMICHEM,0.803177,0.7997,-0.1821,0.06424
17,MARUTI,0.778285,1.1686,-0.2436,0.074969
18,SBIN,0.777688,1.0797,-0.1958,0.08337
19,HAL,0.776166,1.8913,-0.1822,0.102863
20,BLUEDART,0.775699,1.5644,-0.2528,0.083599
