Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,BHARTIARTL,0.942301,1.6981,-0.1389,0.05045
2,DIVISLAB,0.922272,1.7711,-0.1353,0.060135
3,ICICIBANK,0.915723,0.9117,-0.1114,0.0461
4,TECHM,0.910113,1.0085,-0.1118,0.053812
5,EICHERMOT,0.907465,1.1186,-0.1425,0.055383
6,HDFCBANK,0.890206,0.8533,-0.1293,0.054059
7,MUTHOOTFIN,0.890006,1.9381,-0.1397,0.070903
8,JSWSTEEL,0.883466,0.8037,-0.1495,0.051543
9,COROMANDEL,0.864392,1.7195,-0.128,0.078255
10,TORNTPHARM,0.848338,0.7027,-0.1528,0.060526
11,PAGEIND,0.843643,0.5983,-0.1751,0.051962
12,KOTAKBANK,0.842405,0.5357,-0.1607,0.051213
13,BAJAJHLDNG,0.840164,1.1683,-0.1834,0.073191
14,UBL,0.838224,0.7216,-0.1618,0.063708
15,ULTRACEMCO,0.836875,0.5815,-0.1324,0.060815
16,FORTIS,0.835481,1.1752,-0.2094,0.06952
17,UPL,0.833795,1.1602,-0.1707,0.07669
18,FEDERALBNK,0.825659,0.7096,-0.1652,0.066836
19,SUNPHARMA,0.823839,0.4404,-0.1565,0.053505
20,BAJFINANCE,0.821822,0.9558,-0.168,0.075847
