Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,BOSCHLTD,0.941448,1.2769,-0.1079,0.044589
2,ZYDUSLIFE,0.928931,1.4584,-0.1343,0.05422
3,CRISIL,0.920181,0.9125,-0.0838,0.041675
4,RELIGARE,0.902615,1.0926,-0.1405,0.055208
5,ADANIENT,0.901228,0.5779,-0.0131,0.003525
6,ITC,0.89974,1.2582,-0.1621,0.058308
7,TCS,0.89441,1.3079,-0.1487,0.062956
8,GSKCONS,0.891324,1.7716,-0.1852,0.065301
9,COLPAL,0.87857,0.9426,-0.1675,0.056072
10,SANOFI,0.875712,0.5983,-0.1279,0.042845
11,PFIZER,0.874386,1.1514,-0.1909,0.060457
12,INFY,0.86864,0.7905,-0.1606,0.054843
13,CAIRN,0.862231,0.7874,-0.1729,0.055424
14,MOTHERSON,0.852155,1.5026,-0.188,0.073116
15,GAIL,0.848246,0.6849,-0.1934,0.052032
16,ASIANPAINT,0.848233,1.0205,-0.19,0.065766
17,DABUR,0.845046,0.8335,-0.1846,0.061962
18,PIDILITIND,0.836332,0.9141,-0.1947,0.065739
19,SIEMENS,0.825398,0.6944,-0.1384,0.068478
20,HCLTECH,0.821852,0.949,-0.1556,0.074805
