Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,HDFCBANK,0.925308,1.4138,-0.1319,0.04113
2,SKFINDIA,0.900474,1.1537,-0.1474,0.044185
3,HINDUNILVR,0.881141,1.3382,-0.1561,0.059914
4,INFY,0.873491,1.146,-0.1708,0.054444
5,TORNTPHARM,0.867777,1.8377,-0.1494,0.073504
6,VBL,0.862207,1.325,-0.1503,0.068938
7,PGHH,0.852678,0.8436,-0.1738,0.049386
8,ASIANPAINT,0.846168,1.4318,-0.2244,0.061736
9,TCS,0.844049,1.5434,-0.2024,0.070203
10,AIAENG,0.843856,1.0382,-0.1879,0.060804
11,AXISBANK,0.842806,1.5077,-0.1854,0.073738
12,CUB,0.842572,1.1571,-0.2011,0.062549
13,ICICIGI,0.840643,1.2665,-0.2027,0.066209
14,COLPAL,0.840107,0.995,-0.1724,0.064171
15,DIVISLAB,0.829206,1.6019,-0.1743,0.081782
16,ITC,0.82813,0.7913,-0.1709,0.060024
17,GILLETTE,0.823912,0.2357,-0.0905,0.018757
18,BAJAJHLDNG,0.818885,1.2162,-0.2183,0.070057
19,BRITANNIA,0.816127,1.1857,-0.2306,0.06709
20,TECHM,0.814005,0.9076,-0.1595,0.073583
