Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,GTL,0.928767,2.9175,-0.0807,0.045958
2,ZYDUSLIFE,0.9284,3.7179,-0.1329,0.065872
3,ASIANPAINT,0.926199,3.4535,-0.1102,0.076782
4,DRREDDY,0.899405,3.2474,-0.1241,0.089129
5,CASTROLIND,0.898732,2.8051,-0.096,0.070724
6,LUPIN,0.887768,2.8,-0.1129,0.074568
7,GLAXO,0.884137,2.6256,-0.112,0.051997
8,ADANIENT,0.880334,2.3052,-0.0073,0.003307
9,GSKCONS,0.852636,2.565,-0.1275,0.076025
10,TCS,0.851062,2.8647,-0.1605,0.088804
11,PGHH,0.839335,2.9261,-0.1498,0.108106
12,CUMMINSIND,0.836924,2.9525,-0.1717,0.099572
13,GILLETTE,0.833767,2.5615,-0.1603,0.072538
14,CORPBANK,0.832747,3.0712,-0.1405,0.122742
15,IGL,0.832589,2.3903,-0.1284,0.070822
16,PFIZER,0.832362,2.5852,-0.1646,0.074025
17,3MINDIA,0.830016,2.4798,-0.1362,0.082932
18,PNB,0.821406,2.703,-0.1398,0.110292
19,CRISIL,0.818616,2.2668,-0.1206,0.070185
20,BOSCHLTD,0.812801,2.1411,-0.106,0.059512
