Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,SANOFI,0.909178,1.6826,-0.1424,0.059148
2,HDFCBANK,0.907086,0.8112,-0.1319,0.042047
3,INFY,0.902453,1.2357,-0.1708,0.052368
4,HINDUNILVR,0.901258,1.5064,-0.1561,0.059321
5,SKFINDIA,0.871314,0.707,-0.1598,0.052618
6,COLPAL,0.85969,1.0894,-0.1724,0.067553
7,TECHM,0.853094,1.3564,-0.1595,0.075377
8,BRITANNIA,0.848243,1.313,-0.2306,0.064483
9,LT,0.844145,0.8516,-0.1773,0.066829
10,VBL,0.843269,1.3144,-0.164,0.077621
11,HDFC,0.842181,0.7295,-0.19,0.061338
12,TORNTPHARM,0.838952,1.1329,-0.1494,0.078229
13,GSKCONS,0.835394,0.7318,-0.1696,0.067451
14,EXIDEIND,0.834829,0.9137,-0.207,0.066876
15,ASIANPAINT,0.834622,0.912,-0.2244,0.063189
16,PGHH,0.833907,0.3479,-0.1738,0.047469
17,TCS,0.830144,1.6305,-0.2024,0.078933
18,CUB,0.828463,0.7206,-0.2011,0.064397
19,ITC,0.822069,0.4238,-0.1709,0.059018
20,KOTAKBANK,0.815601,0.9018,-0.2529,0.063219
