Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,HDFCBANK,0.941412,2.4658,-0.1021,0.044792
2,SOLARINDS,0.923811,1.7374,-0.0887,0.043289
3,RAJESHEXPO,0.916309,2.874,-0.1143,0.053694
4,VAKRANGEE,0.905187,3.2621,-0.1028,0.059185
5,IGL,0.9023,2.7115,-0.081,0.061624
6,GILLETTE,0.894933,1.4599,-0.0908,0.046542
7,PGHH,0.889327,1.2305,-0.0922,0.036037
8,HINDUNILVR,0.887512,1.5976,-0.1229,0.047587
9,MGL,0.886808,2.2089,-0.104,0.061072
10,LTM,0.882075,1.3246,-0.1112,0.04168
11,HONAUT,0.871622,2.2423,-0.102,0.065277
12,ADANIENT,0.863172,0.7845,-0.0029,0.000901
13,POWERGRID,0.848928,1.0098,-0.0842,0.045636
14,TVSMOTOR,0.842121,2.5829,-0.1637,0.062669
15,KOTAKBANK,0.836904,1.3893,-0.1539,0.05057
16,MOTHERSON,0.829738,1.7876,-0.1613,0.0601
17,BEL,0.822219,1.4241,-0.1316,0.061706
18,INDUSINDBK,0.81648,1.6547,-0.1529,0.06341
19,PETRONET,0.811081,1.1208,-0.139,0.053814
20,HCLTECH,0.801697,0.6175,-0.0916,0.039662
