Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,ADANIENT,0.987449,3.0014,-0.0022,0.001174
2,RELIANCE,0.898566,2.9601,-0.1137,0.072858
3,RELIANCE,0.898566,2.9601,-0.1137,0.072858
4,GUJENERGY,0.847623,1.433,-0.1083,0.047782
5,MOTHERSON,0.844571,1.7357,-0.1127,0.068977
6,BHARTIARTL,0.844054,2.5613,-0.1583,0.084497
7,JSWDULUX,0.835831,1.7248,-0.1104,0.073131
8,NTPC,0.817879,1.581,-0.1397,0.069537
9,J&KBANK,0.816726,1.8235,-0.1336,0.082408
10,ABB,0.814501,2.6391,-0.1716,0.094229
11,JISLJALEQS,0.810216,2.0743,-0.172,0.084852
12,LT,0.796206,2.5178,-0.2126,0.08636
13,ASIANPAINT,0.793116,1.5298,-0.1886,0.06371
14,CUMMINSIND,0.778995,1.9095,-0.2016,0.083031
15,THERMAX,0.778756,2.803,-0.2155,0.095602
16,GSPL,0.777419,1.3668,-0.1394,0.077291
17,HDFC,0.776693,1.7808,-0.2163,0.072635
18,JINDALSAW,0.775687,2.2642,-0.1904,0.097921
19,HTMEDIA,0.775557,1.8181,-0.1516,0.09566
20,TATAPOWER,0.772307,1.7966,-0.1996,0.082488
