Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,ICICIBANK,0.952239,1.1815,-0.1114,0.044539
2,HDFCBANK,0.941471,1.1156,-0.1293,0.046737
3,BHARTIARTL,0.931781,1.43,-0.1389,0.056047
4,EICHERMOT,0.916656,0.9071,-0.1425,0.050126
5,SHREECEM,0.903663,1.0097,-0.1227,0.060037
6,JSWSTEEL,0.89238,0.6931,-0.1495,0.050516
7,DIVISLAB,0.889945,1.0924,-0.1594,0.06264
8,DALBHARAT,0.884043,1.2075,-0.1828,0.0631
9,APOLLOHOSP,0.883928,0.8716,-0.1861,0.055067
10,BAJFINANCE,0.883646,1.2144,-0.168,0.065273
11,BAJAJHLDNG,0.880955,1.0734,-0.1834,0.061731
12,KOTAKBANK,0.857807,0.5223,-0.1393,0.057025
13,ABBOTINDIA,0.857636,0.6709,-0.1555,0.061586
14,FORTIS,0.84712,1.8977,-0.2094,0.072282
15,TORNTPHARM,0.84505,0.5152,-0.1762,0.056275
16,ULTRACEMCO,0.842596,0.5779,-0.1618,0.061914
17,UPL,0.838526,1.1138,-0.1707,0.074513
18,MARUTI,0.835374,0.8355,-0.2044,0.065675
19,JKCEMENT,0.834087,1.815,-0.1846,0.078359
20,BAJAJFINSV,0.832376,0.9299,-0.2245,0.064615
