Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,LUPIN,0.894538,3.9075,-0.0599,0.053901
2,COLPAL,0.890233,2.756,-0.0554,0.04511
3,BAJAJ-AUTO,0.864133,3.4698,-0.0704,0.059813
4,TATACONSUM,0.860059,2.5739,-0.0532,0.052907
5,SUNPHARMA,0.858501,2.9823,-0.0894,0.051847
6,TMPV,0.853486,3.5029,-0.0875,0.05896
7,BHARTIARTL,0.850994,2.2108,-0.0671,0.041303
8,TITAN,0.847717,2.3449,-0.0821,0.043025
9,TVSMOTOR,0.84406,2.9135,-0.0827,0.057806
10,MRF,0.831626,2.5956,-0.0883,0.054439
11,UNITDSPR,0.827013,2.0386,-0.0763,0.04139
12,DLF,0.824375,3.4706,-0.0921,0.066114
13,NTPC,0.823798,2.9515,-0.0755,0.066136
14,ADANIENT,0.822632,1.4978,-0.031,0.015676
15,POWERGRID,0.811618,2.361,-0.0966,0.052466
16,SUNDARMFIN,0.807055,2.5495,-0.0771,0.064188
17,HDFCAMC,0.806579,2.6325,-0.0874,0.063327
18,HCLTECH,0.801267,1.9689,-0.0792,0.048269
19,GRASIM,0.792667,1.6349,-0.0761,0.035068
20,BOSCHLTD,0.790221,2.306,-0.0858,0.061338
