Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,PGHH,0.907351,1.0787,-0.104,0.042399
2,KOTAKBANK,0.897619,1.2121,-0.1448,0.043531
3,HINDUNILVR,0.89431,1.1658,-0.1083,0.051679
4,HDFCBANK,0.893563,1.2053,-0.1332,0.048478
5,PIIND,0.879538,2.1199,-0.1115,0.066711
6,ASIANPAINT,0.860045,1.3211,-0.1414,0.06381
7,ICICIBANK,0.859698,1.2071,-0.1233,0.064673
8,SKFINDIA,0.856396,1.0331,-0.1562,0.0571
9,HDFCLIFE,0.853544,1.3401,-0.1614,0.063268
10,ATUL,0.848995,1.1145,-0.1649,0.060389
11,VBL,0.848038,0.72,-0.1414,0.05329
12,TRENT,0.846648,1.1962,-0.1329,0.067763
13,COLPAL,0.845622,1.4834,-0.1661,0.067047
14,GSKCONS,0.844606,0.7038,-0.1696,0.047891
15,ICICIGI,0.844335,1.0592,-0.1733,0.059368
16,BATAINDIA,0.840438,2.1386,-0.1448,0.075288
17,SBILIFE,0.832624,1.0599,-0.2039,0.057468
18,CUB,0.831532,0.8096,-0.1492,0.061953
19,PETRONET,0.831259,0.4785,-0.1283,0.052461
20,BERGEPAINT,0.824061,1.4136,-0.1525,0.075236
