Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,ADANIENT,0.853124,3.5483,-0.0022,0.001772
2,RELIANCE,0.823285,2.9266,-0.1137,0.080117
3,RELIANCE,0.823285,2.9266,-0.1137,0.080117
4,BHARTIARTL,0.790974,2.5272,-0.1583,0.084654
5,ABB,0.789217,2.7382,-0.1716,0.091771
6,RELINFRA,0.770392,2.9555,-0.1929,0.154939
7,JINDALSTEL,0.768519,3.452,-0.2051,0.127721
8,ABAN,0.764588,2.5586,-0.1855,0.158098
9,JISLJALEQS,0.763331,2.1894,-0.172,0.087063
10,LT,0.758723,2.8789,-0.2126,0.08481
11,JSWDULUX,0.755848,1.749,-0.1104,0.073039
12,KOTAKBANK,0.75425,2.7982,-0.2118,0.112376
13,NTPC,0.753332,1.8303,-0.1397,0.073826
14,J&KBANK,0.751967,1.7957,-0.1336,0.078445
15,HTMEDIA,0.74575,1.84,-0.1516,0.095844
16,THERMAX,0.740716,2.4758,-0.2155,0.097029
17,KTKBANK,0.74071,2.0893,-0.1877,0.115672
18,ROLTA,0.735075,2.132,-0.1971,0.122541
19,JINDALSAW,0.729389,1.9525,-0.1904,0.097083
20,SAIL,0.727333,2.4616,-0.2245,0.123236
