Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,POWERGRID,0.931138,1.6432,-0.1204,0.044581
2,HDFCBANK,0.891796,1.046,-0.1342,0.041225
3,PETRONET,0.882059,1.9122,-0.1318,0.064678
4,SUPREMEIND,0.871524,1.3725,-0.1454,0.059416
5,CUB,0.868102,2.0122,-0.1504,0.066284
6,JSWSTEEL,0.853421,2.384,-0.1456,0.072089
7,KOTAKBANK,0.848106,0.8677,-0.1656,0.044123
8,JAGRAN,0.841143,0.8595,-0.1488,0.05238
9,DBCORP,0.840761,0.7979,-0.1228,0.054764
10,RAMCOCEM,0.832774,1.4739,-0.1708,0.068028
11,IGL,0.82465,2.0035,-0.1724,0.074142
12,KANSAINER,0.824634,1.041,-0.1878,0.055705
13,INDUSINDBK,0.823848,0.8922,-0.1664,0.056258
14,SYNGENE,0.821364,1.4476,-0.1698,0.07107
15,HINDZINC,0.818377,1.3525,-0.1522,0.073635
16,NHPC,0.813555,1.2202,-0.1511,0.072633
17,SKFINDIA,0.808863,0.5786,-0.1436,0.050647
18,GAIL,0.802603,1.3481,-0.1893,0.0703
19,ULTRACEMCO,0.800984,0.7147,-0.1825,0.051013
20,JSWDULUX,0.799191,0.4755,-0.1381,0.049001
