Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,SUNDARMFIN,0.897299,3.7191,-0.0888,0.075467
2,BAJAJHLDNG,0.896652,2.4183,-0.1064,0.041358
3,BHARATFORG,0.895348,3.7815,-0.0908,0.075956
4,3MINDIA,0.894495,2.7197,-0.0944,0.064066
5,ADANIENT,0.891147,1.9354,-0.008,0.0032
6,TECHM,0.880718,2.6488,-0.1118,0.062981
7,PGHH,0.879747,2.5358,-0.105,0.061829
8,BAJAJFINSV,0.876115,2.6816,-0.1258,0.060285
9,SHREECEM,0.866757,3.5107,-0.0963,0.085172
10,TORNTPHARM,0.862901,2.454,-0.097,0.069696
11,LUPIN,0.861483,2.3446,-0.0997,0.064609
12,BAJFINANCE,0.859381,2.3006,-0.1154,0.056884
13,SKFINDIA,0.856767,2.7736,-0.1069,0.078924
14,MOTHERSON,0.844502,2.949,-0.1495,0.070857
15,ZYDUSLIFE,0.833745,2.6662,-0.1331,0.076965
16,MARUTI,0.832492,3.0089,-0.1516,0.076013
17,INDUSTOWER,0.828314,2.3024,-0.1106,0.074743
18,SUPREMEIND,0.825729,2.3786,-0.1243,0.07434
19,CONCOR,0.822409,2.4427,-0.1122,0.081964
20,M&M,0.818622,2.1002,-0.1197,0.065193
