Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,INFY,0.946733,2.4558,-0.0743,0.036201
2,SANOFI,0.9218,2.2468,-0.0767,0.049399
3,GILLETTE,0.915516,1.5553,-0.0886,0.04259
4,HINDUNILVR,0.890238,1.4228,-0.1126,0.048897
5,M&M,0.881421,1.381,-0.1249,0.049908
6,RELIANCE,0.870699,2.0011,-0.1022,0.066144
7,TECHM,0.864882,1.833,-0.1161,0.065226
8,TCS,0.863379,2.6055,-0.1194,0.068666
9,PGHH,0.860767,0.952,-0.1292,0.044303
10,BRITANNIA,0.856346,1.6645,-0.1881,0.052243
11,HDFCBANK,0.851612,0.6983,-0.1255,0.035348
12,MPHASIS,0.843808,2.0826,-0.1052,0.075448
13,PIDILITIND,0.842012,1.189,-0.1343,0.060401
14,CUB,0.834563,0.938,-0.1359,0.055146
15,SCHAEFFLER,0.82508,0.61,-0.1226,0.046385
16,ITC,0.824048,0.6349,-0.0931,0.053219
17,EXIDEIND,0.821818,1.0936,-0.1457,0.063577
18,DABUR,0.819506,1.5803,-0.1346,0.075544
19,BAJAJHLDNG,0.81245,0.5714,-0.1511,0.043995
20,JSWSTEEL,0.811484,1.5757,-0.1377,0.077649
