Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,HDFCBANK,0.943721,2.7002,-0.0884,0.041914
2,HINDUNILVR,0.934492,2.2572,-0.0829,0.042325
3,SOLARINDS,0.925512,2.305,-0.0887,0.046073
4,RAJESHEXPO,0.925129,2.5946,-0.1045,0.045995
5,GILLETTE,0.912314,2.0201,-0.0866,0.046764
6,VAKRANGEE,0.890673,3.3619,-0.1028,0.059542
7,IGL,0.889659,2.6225,-0.081,0.060968
8,ADANIENT,0.883232,1.121,-0.0029,0.000928
9,MGL,0.873796,1.966,-0.0991,0.056743
10,PGHH,0.863628,1.242,-0.0922,0.032975
11,LTM,0.859358,1.4077,-0.1112,0.041795
12,MOTHERSON,0.853504,1.9771,-0.1552,0.049563
13,BHARATFORG,0.847008,1.7042,-0.1251,0.054249
14,TVSMOTOR,0.846404,2.3611,-0.1637,0.054451
15,BRITANNIA,0.828925,1.9005,-0.1571,0.055439
16,MPHASIS,0.824415,1.4447,-0.1229,0.05391
17,KOTAKBANK,0.809877,1.4716,-0.1539,0.050709
18,LT,0.808247,1.2201,-0.1142,0.052358
19,BEL,0.804612,1.7057,-0.1316,0.064386
20,RELIANCE,0.804135,2.4707,-0.0979,0.077999
