Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,ADANIENT,0.902717,1.1244,-0.022,0.005598
2,ASIANPAINT,0.90106,1.5574,-0.2288,0.0563
3,HDFC,0.863022,1.4175,-0.2138,0.083579
4,JUBLPHARMA,0.856801,1.1315,-0.1537,0.070223
5,EXIDEIND,0.849807,1.2401,-0.2214,0.07701
6,RANBAXY,0.832494,1.3343,-0.2266,0.096492
7,JISLJALEQS,0.830791,1.1219,-0.2412,0.074603
8,SBIN,0.8297,1.7923,-0.2706,0.109514
9,JSWDULUX,0.825474,0.8657,-0.1386,0.065186
10,INGVYSYABK,0.81692,1.6345,-0.2266,0.122651
11,ITC,0.803308,0.8829,-0.2093,0.077846
12,HINDUNILVR,0.800393,0.864,-0.2241,0.074303
13,KTKBANK,0.797774,0.9604,-0.1866,0.094234
14,RELIANCE,0.795097,1.6988,-0.3037,0.113412
15,RELIANCE,0.795097,1.6988,-0.3037,0.113412
16,CAIRN,0.78587,1.5483,-0.2956,0.115889
17,SUNPHARMA,0.777716,0.845,-0.2527,0.081276
18,HDFCBANK,0.769761,1.0744,-0.2832,0.098751
19,GLENMARK,0.765317,1.2487,-0.2726,0.11918
20,GRASIM,0.75328,1.1827,-0.3022,0.109599
