Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,SUNDRMFAST,0.891985,1.9892,-0.1064,0.041304
2,LT,0.891423,1.9429,-0.0883,0.044525
3,ITC,0.862641,1.9594,-0.1039,0.052427
4,NTPC,0.854585,1.7046,-0.1034,0.050241
5,SUNDARMFIN,0.850519,1.2046,-0.0763,0.037741
6,DRREDDY,0.833945,1.8988,-0.1159,0.058229
7,ONGC,0.82724,1.4264,-0.1243,0.047368
8,ZYDUSLIFE,0.826665,2.5952,-0.1304,0.063427
9,TORNTPHARM,0.823842,1.468,-0.1384,0.046602
10,GAIL,0.817392,1.2766,-0.0924,0.051605
11,ULTRACEMCO,0.816194,1.2412,-0.1218,0.044653
12,SUNPHARMA,0.810831,1.3959,-0.1199,0.052977
13,APOLLOTYRE,0.807268,1.8972,-0.1191,0.064994
14,OIL,0.800524,1.6857,-0.1356,0.060417
15,IOC,0.798168,1.3891,-0.1036,0.059399
16,BHARTIARTL,0.796406,1.0833,-0.1305,0.042573
17,SUPREMEIND,0.7951,2.8189,-0.1088,0.07525
18,ALKEM,0.793746,1.3587,-0.1035,0.059785
19,CUMMINSIND,0.7932,1.6786,-0.1223,0.064616
20,COLPAL,0.789405,1.363,-0.1404,0.054414
