Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,INFY,0.892107,1.6405,-0.255,0.077718
2,ADANIENT,0.873581,0.9089,-0.0028,0.001122
3,ASIANHOTNR,0.859942,1.2972,-0.236,0.080995
4,TCS,0.852416,1.3517,-0.274,0.081549
5,ASIANPAINT,0.848392,1.2116,-0.2744,0.071918
6,GODREJCP,0.847985,1.3243,-0.2597,0.086343
7,SUNPHARMA,0.839055,1.314,-0.2621,0.09063
8,M&M,0.836516,1.7418,-0.2805,0.108753
9,MARUTI,0.827275,1.6295,-0.2951,0.105329
10,EIHOTEL,0.826819,1.6497,-0.2818,0.110206
11,HDFCBANK,0.822557,1.1384,-0.277,0.082749
12,DRREDDY,0.822002,1.7906,-0.3079,0.109281
13,BOSCHLTD,0.814696,1.2965,-0.2695,0.101775
14,BHARTIARTL,0.812906,0.9505,-0.2435,0.078732
15,ITC,0.806935,1.5284,-0.3016,0.109518
16,IPCL,0.803146,1.3552,-0.2829,0.108165
17,HDFC,0.800283,1.1741,-0.2823,0.097831
18,KANSAINER,0.798761,0.832,-0.2462,0.074472
19,SATYAMCOMP,0.784173,1.3877,-0.3493,0.092275
20,AMBUJACEM,0.77998,1.6075,-0.33,0.115448
