Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,DIVISLAB,0.939871,1.4388,-0.1941,0.080263
2,SANOFI,0.937573,1.5891,-0.2007,0.083946
3,IPCALAB,0.935915,1.6029,-0.1733,0.087458
4,ABBOTINDIA,0.933868,2.217,-0.184,0.09193
5,TORNTPHARM,0.929268,1.4898,-0.2128,0.086524
6,NESTLEIND,0.928565,1.311,-0.2288,0.081019
7,ALKEM,0.924243,1.0999,-0.1853,0.082065
8,TORNTPOWER,0.894898,1.0414,-0.242,0.092092
9,ZYDUSLIFE,0.893089,1.0244,-0.1892,0.097552
10,ASIANPAINT,0.892769,0.7233,-0.2087,0.08229
11,COROMANDEL,0.891513,1.4345,-0.2388,0.103139
12,LALPATHLAB,0.890213,1.2926,-0.2932,0.093117
13,ZFCVINDIA,0.888534,0.4021,-0.2117,0.047777
14,DRREDDY,0.888002,1.5125,-0.2107,0.108171
15,DABUR,0.887979,0.6295,-0.2382,0.074516
16,HINDUNILVR,0.881318,0.6681,-0.2077,0.086513
17,BHARTIARTL,0.881285,1.3305,-0.2849,0.100061
18,BIOCON,0.872796,1.1301,-0.2188,0.107773
19,DMART,0.867648,1.7416,-0.2891,0.110234
20,MRF,0.866111,0.5568,-0.2905,0.073511
