Rank,Symbol,Momentum,Volatility,Score
1,HINDZINC,0.329496,0.021895,15.049
2,GLAXO,0.205186,0.014086,14.5671
3,AMBUJACEM,0.231554,0.01654,14.0001
4,JSWSTEEL,0.274181,0.020695,13.2487
5,CAIRN,0.383747,0.030074,12.7602
6,ULTRACEMCO,0.213017,0.016801,12.6786
7,APOLLOTYRE,0.303438,0.024569,12.3505
8,CUB,0.214107,0.017492,12.2401
9,ASHOKLEY,0.326715,0.02683,12.1771
10,NHPC,0.255875,0.021399,11.9571
11,EICHERMOT,0.245451,0.02125,11.5505
12,CHOLAFIN,0.222584,0.019285,11.542
13,AJANTPHARM,0.198271,0.017546,11.3
14,YESBANK,0.304268,0.027134,11.2134
15,IDBI,0.307831,0.027918,11.0264
16,SHREECEM,0.262658,0.0243,10.8091
17,HEXAWARE,0.249827,0.023184,10.7758
18,TATASTEEL,0.346969,0.032476,10.6837
19,COROMANDEL,0.174192,0.016318,10.675
20,PGHH,0.180765,0.017229,10.4919
