Rank,Symbol,Beta,AnnualVolatility,Observations
1,ADANIPOWER,2.745,0.676378,252
2,RELCAPITAL,2.3524,0.495851,252
3,EDELWEISS,2.1573,0.50955,252
4,PCJEWELLER,2.1534,1.126837,252
5,JINDALSTEL,2.1225,0.522,252
6,RPOWER,2.0395,0.523254,252
7,DHFL,1.9354,0.741651,252
8,GMRAIRPORT,1.9347,0.485602,252
9,UNIONBANK,1.9075,0.453716,252
10,BANKINDIA,1.8903,0.46551,252
11,IBULHSGFIN,1.8899,0.50713,252
12,CANBK,1.8633,0.44763,252
13,DLF,1.8399,0.423215,252
14,RELINFRA,1.8358,0.467739,252
15,M&MFIN,1.8148,0.401331,252
16,SAIL,1.7998,0.429348,252
17,LTF,1.7968,0.395181,252
18,INDIANB,1.76,0.456891,252
19,DHANI,1.7589,0.578725,252
20,STRTECH,1.7534,0.471692,252
