Rank,Symbol,Beta,AnnualVolatility,Observations
1,VEDL,2.7848,0.798062,252
2,JPASSOCIAT,2.1657,0.653867,252
3,DLF,2.0992,0.574056,252
4,ADANIPOWER,2.0178,0.519294,252
5,ORIENTBANK,1.9331,0.494755,252
6,WOCKPHARMA,1.9192,0.577537,252
7,CENTURYTEX,1.8871,0.47904,252
8,UNIONBANK,1.8604,0.508014,252
9,JSWENERGY,1.8591,0.504198,252
10,IDBI,1.7951,0.508565,252
11,JINDALSTEL,1.7872,0.589153,252
12,UCOBANK,1.7645,0.456723,252
13,RELINFRA,1.7412,0.470005,252
14,GMRAIRPORT,1.7383,0.519003,252
15,RCOM,1.73,0.521724,252
16,SUZLON,1.7263,0.537768,252
17,RELCAPITAL,1.7162,0.422323,252
18,IFCI,1.6635,0.46921,252
19,BANKINDIA,1.6628,0.426693,252
20,VAKRANGEE,1.5955,0.580234,252
