Rank,Symbol,Beta,AnnualVolatility,Observations
1,HDIL,2.1208,0.782305,252
2,UNITECH,1.9861,0.763938,252
3,LITL,1.8508,0.725413,252
4,IFCI,1.8193,0.684192,252
5,IIFL,1.8136,0.691033,252
6,EMBDL,1.8073,0.726881,252
7,DLF,1.8039,0.67427,252
8,HCC,1.7658,0.668883,252
9,ABAN,1.7576,0.799569,252
10,SUZLON,1.7546,0.727482,252
11,JPASSOCIAT,1.7409,0.624961,252
12,IVRCLINFRA,1.7284,0.711049,252
13,PUNJLLOYD,1.7133,0.651588,252
14,RELCAPITAL,1.6953,0.631671,252
15,JSWISPAT,1.6716,0.630513,252
16,JPPOWER,1.6637,0.665535,252
17,JSWSTEEL,1.6448,0.695319,252
18,PRAJIND,1.6292,0.611134,252
19,TATASTEEL,1.6148,0.617998,252
20,ROLTA,1.6085,0.763284,252
