Rank,Symbol,Beta,AnnualVolatility,Observations
1,IVRCLINFRA,2.0886,1.073337,252
2,UNITECH,2.033,1.182079,252
3,HDIL,2.0295,1.060077,252
4,JPASSOCIAT,2.0092,0.960067,252
5,IIFL,1.9704,1.047508,252
6,SUZLON,1.968,1.017821,252
7,LITL,1.9412,0.996777,252
8,EMBDL,1.9179,1.049359,252
9,DLF,1.801,0.935628,252
10,RELINFRA,1.7912,0.877181,252
11,IFCI,1.7766,0.859609,252
12,HCC,1.7545,0.884242,252
13,ABAN,1.7231,0.990078,252
14,TATASTEEL,1.7187,0.841839,252
15,RELCAPITAL,1.7101,0.842739,252
16,RCOM,1.6826,0.856739,252
17,NCC,1.6675,0.88532,252
18,PRAJIND,1.6252,0.818896,252
19,IDFC,1.6051,0.829983,252
20,JSWSTEEL,1.5985,0.911629,252
