Rank,Symbol,Beta,AnnualVolatility,Observations
1,GODREJPROP,1.8187,0.468289,252
2,DLF,1.8172,0.424016,252
3,ETERNAL,1.7979,0.668074,252
4,TMPV,1.7837,0.457363,252
5,TATAPOWER,1.7379,0.474928,252
6,BHEL,1.6959,0.447997,252
7,LODHA,1.6715,0.519806,252
8,SAIL,1.6563,0.417376,252
9,IDFCFIRSTB,1.6345,0.394379,252
10,CANBK,1.623,0.434287,252
11,NATIONALUM,1.6204,0.488762,252
12,LTF,1.5852,0.419372,252
13,IRCTC,1.5777,0.501493,252
14,JINDALSTEL,1.573,0.463121,252
15,MINDTREE,1.5685,0.432774,252
16,OBEROIRLTY,1.5566,0.453422,252
17,IDEA,1.5438,0.6811,252
18,IEX,1.5414,0.463144,252
19,UNIONBANK,1.533,0.445779,252
20,VEDL,1.528,0.531097,252
