Rank,Symbol,Beta,AnnualVolatility,Observations
1,VEDL,2.788,1.149183,252
2,TITAN,2.1139,0.56852,252
3,BBTC,1.9304,0.763604,252
4,SRF,1.9091,0.580724,252
5,HMT,1.8868,0.749277,252
6,BANKINDIA,1.839,0.489652,252
7,JSL,1.8328,0.491479,252
8,ESSAROIL,1.7996,0.480383,252
9,INDIACEM,1.7957,0.508571,252
10,KTKBANK,1.7935,0.515173,252
11,GUJNRECOKE,1.6965,0.461342,252
12,IFCI,1.688,0.519191,252
13,IDBI,1.6367,0.590565,252
14,CENTURYTEX,1.6342,0.408342,252
15,UNITDSPR,1.6216,0.539215,252
16,TATACOMM,1.6207,0.468664,252
17,POLARIS,1.6101,0.462556,252
18,BANKBARODA,1.5916,0.389667,252
19,INDUSINDBK,1.5491,0.42016,252
20,STLTECH,1.5302,0.516069,252
