Rank,Symbol,Beta,AnnualVolatility,Observations
1,DLF,2.317,0.457847,252
2,EDELWEISS,2.215,0.50797,252
3,BHARATFIN,2.1571,0.492222,252
4,MANAPPURAM,2.0127,0.492513,252
5,INDIANB,2.0073,0.544115,252
6,RELINFRA,2.0042,0.358495,252
7,RELCAPITAL,1.9986,0.357137,252
8,VEDL,1.9908,0.467915,252
9,JINDALSTEL,1.9885,0.485789,252
10,GMRAIRPORT,1.9479,0.404132,252
11,TV18BRDCST,1.9393,0.395963,252
12,DHFL,1.9251,0.368656,252
13,RCOM,1.8754,0.428036,252
14,CENTURYTEX,1.8724,0.370692,252
15,MOTILALOFS,1.8551,0.433653,252
16,SUNTV,1.7778,0.452124,252
17,BANKINDIA,1.7682,0.404588,252
18,LTF,1.7587,0.344216,252
19,PNB,1.7278,0.406927,252
20,SAIL,1.719,0.351179,252
