Rank,Symbol,Beta,AnnualVolatility,Observations
1,IBULHSGFIN,2.69,0.996445,252
2,VEDL,2.0883,0.568899,252
3,JINDALSTEL,1.9877,0.600677,252
4,SAIL,1.973,0.542584,252
5,LTF,1.9469,0.498382,252
6,RBLBANK,1.8823,0.649272,252
7,EDELWEISS,1.8687,0.694998,252
8,INDUSINDBK,1.8649,0.538288,252
9,NBCC,1.8456,0.569406,252
10,IDEA,1.8396,1.28832,252
11,ADANIPOWER,1.8323,0.550413,252
12,TMPV,1.8216,0.600951,252
13,TATAMTRDVR,1.7818,0.602329,252
14,PEL,1.7312,0.533876,252
15,IDFCFIRSTB,1.73,0.454235,252
16,BHEL,1.712,0.5073,252
17,PRESTIGE,1.7097,0.618036,252
18,DHANI,1.7062,0.759736,252
19,CANBK,1.6856,0.455143,252
20,ASHOKLEY,1.6676,0.509093,252
