Rank,Symbol,Beta,AnnualVolatility,Observations
1,DLF,2.4446,0.460386,252
2,VEDL,2.3543,0.517492,252
3,JINDALSTEL,2.1122,0.508063,252
4,EDELWEISS,2.0588,0.499418,252
5,DHFL,2.0573,0.381356,252
6,BHARATFIN,2.0532,0.469868,252
7,RELCAPITAL,2.0208,0.360643,252
8,RELINFRA,1.9844,0.359732,252
9,RCOM,1.8721,0.423648,252
10,GMRAIRPORT,1.8647,0.380502,252
11,INDIANB,1.843,0.528388,252
12,HINDALCO,1.8314,0.416715,252
13,CENTURYTEX,1.8299,0.370457,252
14,SAIL,1.8213,0.366426,252
15,TV18BRDCST,1.8095,0.382268,252
16,JUBLPHARMA,1.7971,0.474646,252
17,ADANIPOWER,1.7966,0.396002,252
18,SUNTV,1.7778,0.468596,252
19,UNIONBANK,1.7715,0.411727,252
20,PNB,1.7314,0.409695,252
