Rank,Symbol,Beta,AnnualVolatility,Observations
1,UNITECH,2.4148,0.740778,252
2,JPASSOCIAT,2.2757,0.695139,252
3,AMTEKAUTO,2.2692,1.001444,252
4,ADANIPOWER,2.0341,0.486381,252
5,ORIENTBANK,1.9917,0.498915,252
6,IDBI,1.9773,0.507698,252
7,VEDL,1.8916,0.556616,252
8,WOCKPHARMA,1.8867,0.552986,252
9,CENTURYTEX,1.8838,0.49684,252
10,RELINFRA,1.8804,0.44347,252
11,UNIONBANK,1.8048,0.486261,252
12,SYNDIBANK,1.7829,0.426502,252
13,BANKINDIA,1.775,0.442691,252
14,RCOM,1.7643,0.500536,252
15,ANDHRABANK,1.7621,0.437239,252
16,DLF,1.7555,0.626101,252
17,SUZLON,1.7409,0.668385,252
18,JSWENERGY,1.7312,0.507188,252
19,UCOBANK,1.7124,0.420469,252
20,RELCAPITAL,1.7109,0.414395,252
