Rank,Symbol,Beta,AnnualVolatility,Observations
1,BHEL,2.0667,0.53404,252
2,DLF,2.0124,0.432087,252
3,HINDCOPPER,1.9445,0.613034,252
4,NATIONALUM,1.9279,0.556609,252
5,TMPV,1.9267,0.461279,252
6,TATAPOWER,1.8922,0.471819,252
7,RBLBANK,1.8228,0.488634,252
8,SAIL,1.7705,0.494723,252
9,CANBK,1.7433,0.430772,252
10,APOLLOTYRE,1.729,0.368411,252
11,LTF,1.7252,0.365504,252
12,ABFRL,1.7221,0.430365,252
13,ZEEL,1.7192,0.65149,252
14,IDFCFIRSTB,1.7019,0.392524,252
15,GODREJPROP,1.6785,0.443369,252
16,IRCTC,1.676,0.515936,252
17,DEEPAKNTR,1.663,0.433507,252
18,JINDALSTEL,1.6576,0.443538,252
19,UNIONBANK,1.6395,0.467667,252
20,LICHSGFIN,1.6346,0.369965,252
