Rank,Symbol,Beta,AnnualVolatility,Observations
1,MAHLIFE,2.0747,0.848912,252
2,INDUSINDBK,1.9756,0.716004,252
3,CENTURYTEX,1.973,0.658045,252
4,SRF,1.8546,0.66585,252
5,HINDPETRO,1.8307,0.994989,252
6,VEDL,1.8202,0.95294,252
7,ESSAROIL,1.8072,0.733325,252
8,INDIACEM,1.797,0.637827,252
9,IVRCLINFRA,1.7935,0.639103,252
10,STLTECH,1.6839,0.692003,252
11,RELCAPITAL,1.667,0.558373,252
12,IDBI,1.6509,0.578369,252
13,GVPIL,1.6416,0.616476,252
14,PUNJLLOYD,1.5893,0.570545,252
15,ESTL,1.587,0.590477,252
16,HMT,1.5863,0.65331,252
17,POLARIS,1.5593,0.598972,252
18,JSL,1.5536,0.55761,252
19,TRIVENI,1.55,0.65061,252
20,SAIL,1.5287,0.579936,252
