Rank,Symbol,Beta,AnnualVolatility,Observations
1,YESBANK,2.719,0.968904,252
2,IBULHSGFIN,2.7171,0.86019,252
3,DHANI,2.5973,0.730077,252
4,NBCC,2.3567,0.526383,252
5,JINDALSTEL,2.2696,0.558127,252
6,IDEA,2.2298,0.973206,252
7,UNIONBANK,2.2151,0.471289,252
8,TATAMTRDVR,2.2151,0.544263,252
9,SAIL,2.1873,0.459027,252
10,BANKINDIA,2.1816,0.430481,252
11,RBLBANK,2.1521,0.529454,252
12,TMPV,2.1121,0.562195,252
13,ASHOKLEY,1.9998,0.42746,252
14,LTF,1.9863,0.406874,252
15,CANBK,1.9728,0.4,252
16,EDELWEISS,1.9408,0.601616,252
17,BHEL,1.9376,0.459275,252
18,INDIANB,1.9128,0.494187,252
19,PNB,1.9106,0.403033,252
20,BANKBARODA,1.8798,0.392341,252
