Rank,Symbol,Beta,AnnualVolatility,Observations
1,ADANIGREEN,1.8491,0.433496,252
2,MOTILALOFS,1.7937,0.433802,252
3,GODREJPROP,1.6623,0.368293,252
4,IDEA,1.6332,0.513769,252
5,ADANIENSOL,1.6281,0.374709,252
6,SHRIRAMFIN,1.6041,0.367239,252
7,NAM-INDIA,1.6029,0.398315,252
8,MOTHERSON,1.5859,0.35098,252
9,SIEMENS,1.5854,0.517122,252
10,RVNL,1.5843,0.376111,252
11,BSE,1.5806,0.450196,252
12,MAZDOCK,1.5616,0.421944,252
13,LODHA,1.5571,0.360519,252
14,LLOYDSME,1.5547,0.406008,252
15,AIIL,1.5425,0.51106,252
16,HUDCO,1.5418,0.34978,252
17,IREDA,1.5265,0.3243,252
18,COCHINSHIP,1.491,0.445018,252
19,DLF,1.4736,0.309056,252
20,PRESTIGE,1.4726,0.345305,252
