Rank,Symbol,Beta,AnnualVolatility,Observations
1,UNITECH,3.189,0.763984,252
2,JPPOWER,2.523,0.62148,252
3,JPINFRATEC,2.3745,0.620159,252
4,JPASSOCIAT,2.2995,0.621354,252
5,EMBDL,2.2458,0.585714,252
6,SYNDIBANK,2.2157,0.489032,252
7,SUZLON,2.1742,0.769788,252
8,IFCI,2.1584,0.484823,252
9,UNIONBANK,2.1472,0.496891,252
10,JISLJALEQS,2.1333,0.514287,252
11,RELINFRA,2.1264,0.449345,252
12,RELCAPITAL,2.1225,0.454691,252
13,ORIENTBANK,2.0912,0.490595,252
14,ADANIPOWER,2.0798,0.473262,252
15,ALBK,2.0746,0.465486,252
16,PFC,2.0543,0.50415,252
17,CANBK,2.0444,0.447344,252
18,ANDHRABANK,2.0277,0.457253,252
19,IDBI,2.0233,0.468542,252
20,MMTC,1.9975,0.50945,252
