Rank,Symbol,Beta,AnnualVolatility,Observations
1,ADANIPOWER,2.4339,0.562678,252
2,RELCAPITAL,2.358,0.47349,252
3,JINDALSTEL,2.3303,0.500088,252
4,GMRAIRPORT,2.2595,0.505917,252
5,PCJEWELLER,2.2345,1.032515,252
6,SAIL,2.2313,0.474375,252
7,EMBDL,2.2073,0.52763,252
8,PNB,2.0919,0.666098,252
9,BANKINDIA,2.0888,0.549635,252
10,RPOWER,2.0719,0.496735,252
11,UNIONBANK,2.0345,0.543616,252
12,RELINFRA,1.9953,0.432729,252
13,CANBK,1.975,0.558895,252
14,KIOCL,1.961,0.724281,252
15,INDIANB,1.9562,0.475977,252
16,DLF,1.9543,0.387878,252
17,TV18BRDCST,1.9538,0.430278,252
18,BANKBARODA,1.9511,0.539171,252
19,DHANI,1.9276,0.547641,252
20,WOCKPHARMA,1.8668,0.418739,252
