Rank,Symbol,Beta,AnnualVolatility,Observations
1,BHEL,2.1423,0.535136,252
2,DLF,2.103,0.441941,252
3,NATIONALUM,2.0893,0.546695,252
4,TMPV,2.0689,0.511189,252
5,TATAPOWER,2.0637,0.468547,252
6,HINDCOPPER,2.0181,0.68874,252
7,RBLBANK,1.9396,0.412859,252
8,HINDALCO,1.9004,0.426486,252
9,LTF,1.8992,0.395221,252
10,APOLLOTYRE,1.8826,0.428698,252
11,INDIANB,1.869,0.538165,252
12,SAIL,1.8687,0.541302,252
13,VEDL,1.8615,0.495828,252
14,CANBK,1.8507,0.456204,252
15,FEDERALBNK,1.8246,0.385858,252
16,BANKBARODA,1.8038,0.478278,252
17,ASHOKLEY,1.7987,0.39554,252
18,PEL,1.7677,0.420171,252
19,JINDALSTEL,1.7672,0.452416,252
20,M&MFIN,1.741,0.428739,252
