Rank,Symbol,Beta,AnnualVolatility,Observations
1,IBULHSGFIN,2.3445,0.668103,252
2,BHEL,2.1645,0.589979,252
3,RBLBANK,2.066,0.475818,252
4,DLF,1.9984,0.465109,252
5,FEDERALBNK,1.9943,0.429997,252
6,LTF,1.9779,0.437825,252
7,ASHOKLEY,1.9566,0.471755,252
8,TMPV,1.9318,0.498441,252
9,M&MFIN,1.9279,0.508759,252
10,INDUSINDBK,1.88,0.503122,252
11,APOLLOTYRE,1.8614,0.458409,252
12,PEL,1.8085,0.463154,252
13,CANBK,1.8074,0.472783,252
14,TATAPOWER,1.8022,0.4272,252
15,CHOLAFIN,1.7727,0.495923,252
16,IDFCFIRSTB,1.7467,0.453616,252
17,BANKBARODA,1.7463,0.49362,252
18,IDEA,1.7266,0.683941,252
19,BANDHANBNK,1.7242,0.461496,252
20,SAIL,1.6716,0.540152,252
