Rank,Symbol,Beta,AnnualVolatility,Observations
1,DLF,2.0583,0.442879,252
2,BHEL,2.0365,0.517878,252
3,TMPV,1.9017,0.456522,252
4,TATAPOWER,1.8628,0.470089,252
5,NATIONALUM,1.8202,0.554738,252
6,SAIL,1.7914,0.488021,252
7,IDFCFIRSTB,1.7727,0.394877,252
8,LTF,1.7007,0.414882,252
9,IRCTC,1.6934,0.507995,252
10,UNIONBANK,1.6864,0.467292,252
11,GODREJPROP,1.6839,0.440174,252
12,ABFRL,1.6736,0.417984,252
13,CANBK,1.6481,0.420158,252
14,IDEA,1.6406,0.784301,252
15,PEL,1.6239,0.404994,252
16,APOLLOTYRE,1.6236,0.350605,252
17,JINDALSTEL,1.6234,0.449549,252
18,INDIANB,1.6005,0.476236,252
19,OBEROIRLTY,1.6004,0.46782,252
20,DEEPAKNTR,1.5991,0.417725,252
