Rank,Symbol,Beta,AnnualVolatility,Observations
1,UNITECH,2.8923,0.729759,252
2,JPASSOCIAT,2.0841,0.59817,252
3,SYNDIBANK,2.0796,0.480842,252
4,RELINFRA,2.0662,0.447059,252
5,IFCI,2.0178,0.468945,252
6,ADANIPOWER,1.9803,0.441086,252
7,RELCAPITAL,1.9758,0.429815,252
8,ORIENTBANK,1.9536,0.483858,252
9,SUZLON,1.9346,0.714683,252
10,IDBI,1.9211,0.473549,252
11,HINDPETRO,1.92,0.605155,252
12,MMTC,1.9125,0.48087,252
13,NBCC,1.8998,0.596366,252
14,ANDHRABANK,1.8821,0.450789,252
15,CENTURYTEX,1.8654,0.470914,252
16,ALBK,1.8544,0.44534,252
17,UNIONBANK,1.8445,0.458679,252
18,ASHOKLEY,1.8206,0.469784,252
19,BANKINDIA,1.7906,0.418711,252
20,CANBK,1.7759,0.403267,252
