Rank,Symbol,Beta,AnnualVolatility,Observations
1,HDIL,2.0526,1.111532,252
2,HINDPETRO,2.0347,1.5849,252
3,JPASSOCIAT,1.9489,1.00418,252
4,LITL,1.9421,1.055028,252
5,CHAMBLFERT,1.9396,1.062672,252
6,PENINLAND,1.8948,0.984615,252
7,STLTECH,1.8673,1.016401,252
8,ESSAROIL,1.8487,0.967325,252
9,RNRL,1.8473,0.961959,252
10,RELINFRA,1.8434,0.928925,252
11,IFCI,1.8347,0.932569,252
12,UNITECH,1.8272,1.118158,252
13,EMBDL,1.7665,1.083506,252
14,RELCAPITAL,1.7324,0.892077,252
15,IIFL,1.705,1.006267,252
16,BAJAJHIND,1.688,0.998667,252
17,JSWISPAT,1.6807,0.839084,252
18,NLCINDIA,1.6604,0.840657,252
19,PRAJIND,1.6469,0.8795,252
20,IVRCLINFRA,1.6416,0.946005,252
