Rank,Symbol,Beta,AnnualVolatility,Observations
1,EXIDEIND,2.1416,3.791201,252
2,VEDL,2.0287,1.125397,252
3,INDIABULLS,1.941,0.780654,252
4,JSL,1.8521,0.657531,252
5,SRF,1.832,0.650996,252
6,CENTURYTEX,1.8291,0.612138,252
7,ESSAROIL,1.8268,0.733073,252
8,INDIACEM,1.8038,0.650613,252
9,HINDPETRO,1.7458,0.881998,252
10,INDUSINDBK,1.7239,0.603571,252
11,STLTECH,1.7152,0.696061,252
12,RELCAPITAL,1.7064,0.575513,252
13,ESTL,1.7019,0.588577,252
14,HMT,1.6497,0.694408,252
15,IVRCLINFRA,1.6123,0.556914,252
16,GVPIL,1.5784,0.575554,252
17,SAIL,1.5295,0.576346,252
18,TATACOMM,1.5137,0.552395,252
19,ROLTA,1.5006,0.58102,252
20,IDBI,1.4765,0.483206,252
