Rank,Symbol,Beta,AnnualVolatility,Observations
1,INDUSINDBK,2.0317,0.856076,252
2,CHOLAFIN,1.9398,0.723761,252
3,JINDALSTEL,1.9127,0.74268,252
4,BANDHANBNK,1.904,0.848551,252
5,IBULHSGFIN,1.8488,1.083711,252
6,LTF,1.8372,0.619916,252
7,SHRIRAMFIN,1.8298,0.742759,252
8,AXISBANK,1.7797,0.608958,252
9,M&MFIN,1.7658,0.67626,252
10,BAJFINANCE,1.7057,0.600567,252
11,FEDERALBNK,1.6983,0.56289,252
12,RBLBANK,1.6907,0.784876,252
13,SAIL,1.6748,0.615442,252
14,ASHOKLEY,1.6456,0.679854,252
15,MOTHERSON,1.632,0.676081,252
16,TMPV,1.618,0.671198,252
17,BAJAJFINSV,1.5903,0.531617,252
18,MANAPPURAM,1.58,0.630917,252
19,LICHSGFIN,1.5764,0.591112,252
20,HINDALCO,1.5663,0.546299,252
